index,GameID,DateTime_x,IsClosed,AwayTeamID,HomeTeamID,AwayTeamScore,HomeTeamScore,TeamID_x,NewsID,Content,DateTime_y,Url,Source,DiffrenceInDay,StatID,TeamID_y,Name,FantasyPoints,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,Minutes,Seconds,Goals,Assists,ShotsOnGoal,PowerPlayGoals,ShortHandedGoals,EmptyNetGoals,PowerPlayAssists,ShortHandedAssists,HatTricks,ShootoutGoals,PlusMinus,PenaltyMinutes,Blocks,Hits,Takeaways,Giveaways,FaceoffsWon,FaceoffsLost,Shifts,GoaltendingMinutes,GoaltendingSeconds,GoaltendingShotsAgainst,GoaltendingGoalsAgainst,GoaltendingSaves,GoaltendingWins,GoaltendingLosses,GoaltendingShutouts,GoaltendingOvertimeLosses,FantasyPointsFantasyDraft
4,20858,2023-11-14,True,8,27,1.0,0.0,8,27337,"Florida Panthers center/right wing Sam Reinhart finished with a season-high of four points in Sunday's 4-3 victory against the Blackhawks. Reinhart scored a power-play goal at the midway point of the opening period to give the Panthers a one-goal advantage, while his second goal of the contest was banked in off of Blackhawks goaltender Arvid Soderblom from below the goal line to give his team the lead once again in the middle frame. The dominant performance was the third multi-goal game of the season for Reinhart, while he has recorded multiple points in nine of 14 games to begin the new campaign. Reinhart has provided fantasy managers with early-round value across standard formats, with totals of 11 goals and a team-high 21 points through 14 games.",2023-11-13,https://www.rotoballer.com/player-news/sam-reinhart-leads-team-to-victory-with-four-points/1271199,RotoBaller,1 days,2916006,8,Florida Panthers,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7
4,20858,2023-11-14,True,8,27,1.0,0.0,8,27337,"Florida Panthers center/right wing Sam Reinhart finished with a season-high of four points in Sunday's 4-3 victory against the Blackhawks. Reinhart scored a power-play goal at the midway point of the opening period to give the Panthers a one-goal advantage, while his second goal of the contest was banked in off of Blackhawks goaltender Arvid Soderblom from below the goal line to give his team the lead once again in the middle frame. The dominant performance was the third multi-goal game of the season for Reinhart, while he has recorded multiple points in nine of 14 games to begin the new campaign. Reinhart has provided fantasy managers with early-round value across standard formats, with totals of 11 goals and a team-high 21 points through 14 games.",2023-11-13,https://www.rotoballer.com/player-news/sam-reinhart-leads-team-to-victory-with-four-points/1271199,RotoBaller,1 days,2914095,8,Florida Panthers,60.6,199.2,144.2,123.1,292,29,4.9,7.8,31.6,2.0,0.0,1.0,3.9,0.0,0.0,0.0,4.9,5.9,4.9,9.8,7.8,3.9,23.7,29.7,364.0,59,0,21.8,2.9,18.8,1.0,0.0,0.0,0.0,211.2
4,20858,2023-11-14,True,8,27,1.0,0.0,8,27337,"Florida Panthers center/right wing Sam Reinhart finished with a season-high of four points in Sunday's 4-3 victory against the Blackhawks. Reinhart scored a power-play goal at the midway point of the opening period to give the Panthers a one-goal advantage, while his second goal of the contest was banked in off of Blackhawks goaltender Arvid Soderblom from below the goal line to give his team the lead once again in the middle frame. The dominant performance was the third multi-goal game of the season for Reinhart, while he has recorded multiple points in nine of 14 games to begin the new campaign. Reinhart has provided fantasy managers with early-round value across standard formats, with totals of 11 goals and a team-high 21 points through 14 games.",2023-11-13,https://www.rotoballer.com/player-news/sam-reinhart-leads-team-to-victory-with-four-points/1271199,RotoBaller,1 days,2912654,8,Florida Panthers,54.0,210.3,162.9,110.5,311,0,4.5,8.9,32.8,2.2,0.0,0.0,4.5,0.0,0.0,0.0,-5.3,6.7,10.6,22.2,10.6,11.6,33.8,24.3,385.8,63,0,27.5,3.4,24.3,1.1,0.0,0.0,0.0,223.6
2,20839,2023-11-11,True,29,21,11.0,8.0,29,27290,"Arizona Coyotes forward Jason Zucker (upper body) will be back in the lineup Thursday when the club visits the St. Louis Blues. The veteran winger has missed notable time with the ailment after being injured as part of a 2-1 win over the Anaheim Ducks on Oct. 21. Zucker is expected to skate on a line with center Logan Cooley and winger Michael Carcone while veteran Travis Boyd is expected to come out of the lineup. Through his first five games with the Coyotes after signing a one-year deal with the club this summer, Zucker has tallied a pair of goals on 14 shots along with six penalty minutes in his 13:05 of average ice time per game.",2023-11-10,https://www.rotoballer.com/player-news/jason-zucker-to-return-to-the-lineup-thursday/1269376,RotoBaller,1 days,2915815,29,Arizona Coyotes,28.2,98.1,83.8,58.5,181,0,0.9,1.7,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,14.8,5.1,1.7,4.3,17.5,16.6,241.6,37,0,22.1,0.9,21.2,0.0,0.0,0.0,0.0,129.5
2,20839,2023-11-11,True,29,21,11.0,8.0,29,27290,"Arizona Coyotes forward Jason Zucker (upper body) will be back in the lineup Thursday when the club visits the St. Louis Blues. The veteran winger has missed notable time with the ailment after being injured as part of a 2-1 win over the Anaheim Ducks on Oct. 21. Zucker is expected to skate on a line with center Logan Cooley and winger Michael Carcone while veteran Travis Boyd is expected to come out of the lineup. Through his first five games with the Coyotes after signing a one-year deal with the club this summer, Zucker has tallied a pair of goals on 14 shots along with six penalty minutes in his 13:05 of average ice time per game.",2023-11-10,https://www.rotoballer.com/player-news/jason-zucker-to-return-to-the-lineup-thursday/1269376,RotoBaller,1 days,2913770,29,Arizona Coyotes,41.9,155.8,132.3,87.0,292,55,2.9,3.9,25.7,1.0,0.0,0.0,2.0,0.0,0.0,0.0,-3.0,7.8,22.7,15.8,4.9,6.8,20.8,33.6,383.7,59,42,35.6,3.9,31.6,0.0,0.0,0.0,1.0,184.9
2,20839,2023-11-11,True,29,21,11.0,8.0,29,27290,"Arizona Coyotes forward Jason Zucker (upper body) will be back in the lineup Thursday when the club visits the St. Louis Blues. The veteran winger has missed notable time with the ailment after being injured as part of a 2-1 win over the Anaheim Ducks on Oct. 21. Zucker is expected to skate on a line with center Logan Cooley and winger Michael Carcone while veteran Travis Boyd is expected to come out of the lineup. Through his first five games with the Coyotes after signing a one-year deal with the club this summer, Zucker has tallied a pair of goals on 14 shots along with six penalty minutes in his 13:05 of average ice time per game.",2023-11-10,https://www.rotoballer.com/player-news/jason-zucker-to-return-to-the-lineup-thursday/1269376,RotoBaller,1 days,2911702,29,Arizona Coyotes,32.1,109.9,86.7,65.7,120,16,1.2,2.0,10.2,0.3,0.0,0.2,0.7,0.0,0.0,0.0,0.8,1.3,2.7,3.3,0.5,2.0,11.0,4.0,157.9,24,19,16.7,0.8,14.7,0.2,0.0,0.0,0.0,111.0
